id,fss_category,insurance_type,coverage_type,title,source_url,source_status,fetch_status,fetched_at,notes
"FSS_LATEST_001","FSS latest 75 title seed","생명보험","사망/연금","연금보험 만기보험금","https://www.insclaim.co.kr/34?np=1","official_fss_full_text","full_text_extracted","2026-05-04T15:42:35.324Z","Full text extracted from source_url"
"FSS_LATEST_002","FSS latest 75 title seed","생명보험","사망/연금","연금보험 배당금","https://www.insclaim.co.kr/34?np=1","official_fss_full_text","full_text_extracted","2026-05-04T15:42:35.877Z","Full text extracted from source_url"
"FSS_LATEST_003","FSS latest 75 title seed","생명보험","사망/연금","자살보험금 납입보험료 환급","https://www.insclaim.co.kr/34?np=1","official_fss_full_text","full_text_extracted","2026-05-04T15:42:36.438Z","Full text extracted from source_url"
"FSS_LATEST_004","FSS latest 75 title seed","질병·상해·간병보험","후유장해/진단/입원/수술/고지통지","교통사고 후유장해보험금","https://www.insclaim.co.kr/34?np=1","official_fss_full_text","full_text_extracted","2026-05-04T15:42:36.997Z","Full text extracted from source_url"
"FSS_LATEST_005","FSS latest 75 title seed","질병·상해·간병보험","후유장해/진단/입원/수술/고지통지","추간판탈출증 후유장해보험금","https://www.insclaim.co.kr/34?np=1","official_fss_full_text","full_text_extracted","2026-05-04T15:42:37.588Z","Full text extracted from source_url"
"FSS_LATEST_006","FSS latest 75 title seed","질병·상해·간병보험","후유장해/진단/입원/수술/고지통지","농작업중 재해 보험금","https://www.insclaim.co.kr/34?np=1","official_fss_full_text","full_text_extracted","2026-05-04T15:42:38.347Z","Full text extracted from source_url"
"FSS_LATEST_007","FSS latest 75 title seed","질병·상해·간병보험","후유장해/진단/입원/수술/고지통지","경계성종양 암진단보험금","https://www.insclaim.co.kr/34?np=1","official_fss_full_text","full_text_extracted","2026-05-04T15:42:38.900Z","Full text extracted from source_url"
"FSS_LATEST_008","FSS latest 75 title seed","질병·상해·간병보험","후유장해/진단/입원/수술/고지통지","퇴직후 단체보험 암진단보험금","https://www.insclaim.co.kr/34?np=1","official_fss_full_text","full_text_extracted","2026-05-04T15:42:39.798Z","Full text extracted from source_url"
"FSS_LATEST_009","FSS latest 75 title seed","질병·상해·간병보험","후유장해/진단/입원/수술/고지통지","코로나19 특정전염병 보험금","https://www.insclaim.co.kr/34?np=1","official_fss_full_text","full_text_extracted","2026-05-04T15:42:41.747Z","Full text extracted from source_url"
"FSS_LATEST_010","FSS latest 75 title seed","질병·상해·간병보험","후유장해/진단/입원/수술/고지통지","한방병원 암입원비","https://www.insclaim.co.kr/34?np=1","official_fss_full_text","full_text_extracted","2026-05-04T15:42:42.528Z","Full text extracted from source_url"
"FSS_LATEST_011","FSS latest 75 title seed","질병·상해·간병보험","후유장해/진단/입원/수술/고지통지","상해질병보험 재입원 입원보험금","https://www.insclaim.co.kr/34?np=1","official_fss_full_text","full_text_extracted","2026-05-04T15:42:43.298Z","Full text extracted from source_url"
